Question_code,Question,Theme_code,Theme,Driver,Image_Icon,Statement,Description
value01Q01,Q01,value01,Integrity,Models professional,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Models professionalism and commitment.
value01Q02,Q02,value01,Integrity,Supports an enviorme,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Supports an environment of trust by admitting own mistakes and taking responsibility for ones actions
value01Q03,Q03,value01,Integrity,Establishes open,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Establishes open and honest communication with others.
value02Q01,Q01,value02,Thrive on Excellence,Continues to improve,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,"Continues to improve processes, questioning current models and identifying areas of improvement."
value02Q02,Q02,value02,Thrive on Excellence,Strives to develop ,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,Strives to develop own capabilities in order to ensure he/she has the skills required to achieve organisational objectives.
value02Q03,Q03,value02,Thrive on Excellence,Stays updated on,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,Stays updated on industry practices and innovations and tries to implement new ideas in order to improve performance and delivery.
value03Q01,Q01,value03,Collaboration,Effectively works with,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,Effectively works with others to ensure successful accomplishment of goals /tasks.
value03Q02,Q02,value03,Collaboration,Respects people with,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,"Respects people with diverse backgrounds, and embraces differences for better decision making."
value03Q03,Q03,value03,Collaboration,Models cooperation,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,Models cooperation and team work by creating opportunities for self and others to improve working relationships and work outcomes.
value04Q01,Q01,value04,Bias to Action,Has high levels ,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Has high levels of ownership and accountability by being execution focussed to ensure quality delivery on time.
value04Q02,Q02,value04,Bias to Action,Minimises complexity ,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Minimises complexity in processes by simplyfying tasks to achieve end objective.
value04Q03,Q03,value04,Bias to Action,Maintains Composure,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Maintains composure and direction in stressful situations.
value05Q01,Q01,value05,Positive Work Place,Creates a work,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,Creates a work environment that promotes positivity and enthusiasm.
value05Q02,Q02,value05,Positive Work Place,Seeks to develop,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,Seeks to develop a relationship of trust and respect with others at work.
value05Q03,Q03,value05,Positive Work Place,Embraces challenging,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,"Embraces challenging & ambiguous projects/problems with resilience, positivity and self-motivation."
competency01Q01,Q01,competency01,Learning Agility,Reflects and learns,https://postimg.cc/cvQTYf2F,Ability and willingness to learn from experience and apply that learning to perform successfully in new situations. Ability to remain open to new ways of thinking and to continuously learn new skills.,Reflects and learns from own experiences and those of others.
competency01Q02,Q02,competency01,Learning Agility,Shows ownership,https://postimg.cc/cvQTYf2F,Ability and willingness to learn from experience and apply that learning to perform successfully in new situations. Ability to remain open to new ways of thinking and to continuously learn new skills.,Shows ownership of own professional growth by keeping abreast of new information and advancements in order to improve performance.
competency01Q03,Q03,competency01,Learning Agility,Displays the ability,https://postimg.cc/cvQTYf2F,Ability and willingness to learn from experience and apply that learning to perform successfully in new situations. Ability to remain open to new ways of thinking and to continuously learn new skills.,Displays the ability to unlearn traditional practices in order to improve performance.
competency02Q01,Q01,competency02,Interpersonal,Displays conviction,https://postimg.cc/9rwLm6p5,"Ability to communicate effectively, listen effectively and interact with other team members of the organisation, employing emotional intelligence skills",Displays conviction in expressing own views.
competency02Q02,Q02,competency02,Interpersonal,Role models ,https://postimg.cc/9rwLm6p5,"Ability to communicate effectively, listen effectively and interact with other team members of the organisation, employing emotional intelligence skills",Role models effective listening by keeping an open mindset and being attentive to the speaker.
competency02Q03,Q03,competency02,Interpersonal,Is able to use ,https://postimg.cc/9rwLm6p5,"Ability to communicate effectively, listen effectively and interact with other team members of the organisation, employing emotional intelligence skills",Is able to use emotional intelligence when interacting with team members across the organisation.
competency03Q01,Q01,competency03,Receptivity to Change,Asks questions ,https://postimg.cc/qtwLD4kn,Ability to readily respond and willingness to adapt to changing circumstances and expectations,Asks questions and looks for data that helps to identify the symptoms of defined problems.
competency03Q02,Q02,competency03,Receptivity to Change,Identifies the root ,https://postimg.cc/qtwLD4kn,Ability to readily respond and willingness to adapt to changing circumstances and expectations,Identifies the root causes of problems and ensures that the knowledge created is used to inform future ways of working.
competency03Q03,Q03,competency03,Receptivity to Change,Probes underlying ,https://postimg.cc/qtwLD4kn,Ability to readily respond and willingness to adapt to changing circumstances and expectations,Probes underlying issues to generate multiple solutions.
competency04Q01,Q01,competency04,Problem Solving,Articulates view,https://postimg.cc/k2rfBT1V,"Ability to analyse a problem objectively, identify problem severity and assess the impact of alternative solutions. Ability to identify problems, brainstorm alternatives through critical thinking, considering the facts and differing perspectives and making decisions on the basis of thorough analysis and implementation of the solution.",Articulates view points with conviction in a logical and compelling manner.
competency04Q02,Q02,competency04,Problem Solving,Influences others ,https://postimg.cc/k2rfBT1V,"Ability to analyse a problem objectively, identify problem severity and assess the impact of alternative solutions. Ability to identify problems, brainstorm alternatives through critical thinking, considering the facts and differing perspectives and making decisions on the basis of thorough analysis and implementation of the solution.",Influences others by adapting the style of communication required for the audience.
competency04Q03,Q03,competency04,Problem Solving,Generates trust ,https://postimg.cc/k2rfBT1V,"Ability to analyse a problem objectively, identify problem severity and assess the impact of alternative solutions. Ability to identify problems, brainstorm alternatives through critical thinking, considering the facts and differing perspectives and making decisions on the basis of thorough analysis and implementation of the solution.",Generates trust in working by being authentic in communication.
competency05Q01,Q01,competency05,Communicating with Impact,Implements startegic,https://postimg.cc/5Hbgm6Mb,"Ability to influence without authority. Being aware of the audience and articulating view points with conviction in a logical, focussed, compelling and consistent manner. Ability to generate trust in work relationships by being authentic and relatable in communication",Implements strategic objectives and develops metrics to assess atttainment of goals/OKRs.
competency05Q02,Q02,competency05,Communicating with Impact,Conducts reviews,https://postimg.cc/5Hbgm6Mb,"Ability to influence without authority. Being aware of the audience and articulating view points with conviction in a logical, focussed, compelling and consistent manner. Ability to generate trust in work relationships by being authentic and relatable in communication",Conducts reviews and gathers information from relevant sources to support the development of a strategic plan.
competency05Q03,Q03,competency05,Communicating with Impact,Reviews the long ,https://postimg.cc/5Hbgm6Mb,"Ability to influence without authority. Being aware of the audience and articulating view points with conviction in a logical, focussed, compelling and consistent manner. Ability to generate trust in work relationships by being authentic and relatable in communication",Reviews the long term impact even when making short-term decisions.
competency06Q01,Q01,competency06,Strategic Thinking,Objectives and develops,https://postimg.cc/5Hbgm6Mb,Ability to come up with effective plans to resolve a situation or to achieve a company’s goal. Ability to reflect on the broader consequence of decisions and actions in such a way as it produces more significant impact,Implements strategic objectives and develops metrics to assess atttainment of goals/OKRs
competency06Q02,Q02,competency06,Strategic Thinking,Gathers information,https://postimg.cc/5Hbgm6Mb,Ability to come up with effective plans to resolve a situation or to achieve a company’s goal. Ability to reflect on the broader consequence of decisions and actions in such a way as it produces more significant impact,Conducts reviews and gathers information from relevant sources to support the development of a strategic plan.
